,Unnamed: 0,Account_ID,Name,Twitter_username,Political_party
0,0,816181091673448448,A. Donald McEachin,RepMcEachin,Democratic Party
1,1,160246973,Aaron Michlewitz,RepMichlewitz,Democratic Party
2,2,215369273,Aaron Peskin,AaronPeskin,Democratic Party
3,3,9843332,Aaron Peña,AaronPena,Republican Party
5,5,1262017122,Abby Finkenauer,Abby4Iowa,Democratic Party
6,6,1078771401497161728,Abigail Spanberger,SpanbergerVA07,Democratic Party
7,8,882958562296819714,Abigail Spanberger,SpanbergerVA07,Democratic Party
8,10,219429281,Adam Kinzinger,repkinzinger,Republican Party
9,11,48809111,Adam Putnam,adamputnam,Republican Party
10,12,29501253,Adam Schiff,RepAdamSchiff,Democratic Party
11,13,58928690,Adam Smith,RepAdamSmith,Democratic Party
14,16,1644427472,Adrian Fenty,adrianfenty,Democratic Party
15,17,296245061,Adrian Smith,RepAdrianSmith,Republican Party
16,18,817076257770835968,Adriano Espaillat,RepEspaillat,Democratic Party
17,19,2400005258,Aftab Pureval,aftabpureval,Democratic Party
18,20,1173297636,Aja Brown,AjaLBrown,Democratic Party
19,23,7334402,Al Franken,alfranken,Minnesota Democratic–Farmer–Labor Party
20,25,17220934,Al Gore,algore,Democratic Party
21,26,156333623,Al Green,RepAlGreen,Democratic Party
22,28,831279382052249600,Al Muratsuchi,asmmuratsuchi,Democratic Party
23,30,42389136,Al Sharpton,TheRevAl,Democratic Party
24,31,41017380,Alan Grayson,AlanGrayson,Democratic Party
25,32,1055730738,Alan Lowenthal,replowenthal,Democratic Party
26,33,1099290316920799233,Albert Bryan Jr.,govbryan,Democratic Party of the Virgin Islands
27,35,18696134,Albio Sires,RepSires,Democratic Party
29,40,82489457,Alex Padilla,alexpadilla4ca,Democratic Party
30,41,2964526557,Alex X. Mooney,RepAlexMooney,Republican Party
31,44,1079104563280527364,Alexandria Ocasio-Cortez,AOC,Democratic Party
32,45,138203134,Alexandria Ocasio-Cortez,AOC,Democratic Party
33,46,297428020,Alfonso H. Lopez,Lopez4VA,Democratic Party
34,47,818472418620608512,"Alfred Lawson, Jr.",RepAlLawsonJr,Democratic Party
36,49,233368344,Alison Lundergan Grimes,AlisonForKY,Democratic Party
37,51,237403203,Allen West,allenwest,Republican Party
38,53,2916086925,Alma Adams,RepAdams,Democratic Party
39,54,2693406407,Alveda King,AlvedaCKing,Republican Party
40,56,2504452635,Alyssa Mastromonaco,AlyssaMastro44,Democratic Party
41,57,584256712,Amanda Fritz,AmandaFritzRN,Democratic Party
42,58,950783972,Ami Bera,RepBera,Democratic Party
43,59,33537967,Amy Klobuchar,amyklobuchar,Minnesota Democratic–Farmer–Labor Party
44,61,2783231383,Amy McGrath,AmyMcGrathKY,Democratic Party
45,62,111989710,Ana Sol Gutierrez,asolg,Democratic Party
47,65,36745613,Andrea Stewart-Cousins,andreascousins,Democratic Party
53,72,199325935,André Carson,RepAndreCarson,Democratic Party
54,73,1089334250,Andy Barr,RepAndyBarr,Republican Party
55,74,2991360032,Andy Beshear,AndyBeshearKY,Democratic Party
56,75,816652616625168388,Andy Biggs,RepAndyBiggsAZ,Republican Party
57,76,960962340,Andy Harris,RepAndyHarrisMD,Republican Party
58,77,1078771848882593793,Andy Kim,RepAndyKimNJ,Democratic Party
59,79,24215154,Andy Kim,RepAndyKimNJ,Democratic Party
60,81,1080277407867772930,Andy Levin,RepAndyLevin,Democratic Party
61,83,15935867,Angela Alsobrooks,CEXAlsobrooks,Democratic Party
62,88,1080222360643485698,Angie Craig,AngieCraigMN,Democratic Party
63,90,411861905,Angie Craig,AngieCraigMN,Democratic Party
64,94,95357369,Anitere Flores,anitere_flores,Republican Party
65,95,1081240074946252801,Ann Kirkpatrick,RepKirkpatrick,Democratic Party
66,97,272004287,Ann Kirkpatrick,RepKirkpatrick,Democratic Party
67,99,1058717720,Ann McLane Kuster,RepAnnieKuster,Democratic Party
69,101,1051446626,Ann Wagner,RepAnnWagner,Republican Party
70,102,249348006,Anna Eshoo,RepAnnaEshoo,Democratic Party
72,105,19249328,Annise Parker,AnniseParker,Democratic Party
75,110,195638329,Anthony Cannella,AnthonyCannella,California Republican Party
76,112,823552974253342721,Anthony G. Brown,RepAnthonyBrown,Democratic Party
